ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	SUBGROUP	VALUE	FORM	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LOAN	SOURCE	NOTES	COGID
7951	101_ifirstpersonsingular	I [first person singular]	TshDirangTshangla	Dirang Tshangla	Bodic	ʥaŋ	dʒaŋ	dira1243	1209	27.343674	92.273057			TB		10390
7952	101_ifirstpersonsingular	I [first person singular]	TaniGalo	Galo	Tani	ŋó	ŋo55	galo1242	1209	27.98	94.69			Post07	*ŋoo	327
7953	101_ifirstpersonsingular	I [first person singular]	TaniTangam	Tangam	Tani	ŋoo	ŋoː	tang1377	1209	28.956354	94.990737			Post2017		327
7954	101_ifirstpersonsingular	I [first person singular]	EBDzalakha	Dzalakha	East Bodish	nge	ŋe	dzal1238	1209	27.605989	91.494864			DDC2017		327
7955	101_ifirstpersonsingular	I [first person singular]	EBKhengkha	Khengkha	East Bodish	nga	ŋa	khen1241	1209	27.144878	90.689999			AandY1996		327
7956	101_ifirstpersonsingular	I [first person singular]	KBWanghoBugun	Bugun	KhoBwa	ko	ko	wang1301	1209	27.24169	92.420806			Abraham2018		799
7957	101_ifirstpersonsingular	I [first person singular]	KBBichomBugun	Bugun	KhoBwa	"go; gu"	go	bich1234	1209	27.31177	92.592007			Abraham2018		799
7958	101_ifirstpersonsingular	I [first person singular]	KBSingchungBugun	Bugun	KhoBwa	go	go	sing1271	1209	27.191743	92.474176			Abraham2018		799
7959	101_ifirstpersonsingular	I [first person singular]	KBKaspiBugun	Bugun	KhoBwa	gu	gu	kasp1234	1209	27.204536	92.564228			Abraham2018		799
7960	101_ifirstpersonsingular	I [first person singular]	KBNamphriBugun	Bugun	KhoBwa	go	go	namp1239	1209	27.24403	92.52836			Abraham2018		799
7961	101_ifirstpersonsingular	I [first person singular]	EBMamaCuonaMenba	Tshona Dakpa	East Bodish	ŋe35	ŋe35	dakp1242	1209	27.872413	91.798576			Lu2002		327
7962	101_ifirstpersonsingular	I [first person singular]	EBWenlangCuonaMenba	Tawang Dakpa	East Bodish	ŋe35	ŋe35	dakp1242	1209	29.367765	95.339063			Lu2002		327
7963	101_ifirstpersonsingular	I [first person singular]	KBWestPuroikLieberherr	Puroik	KhoBwa	guu	guu	bulu1255	1209	27.451029	92.44627	799	FALSE	TB		799
7964	101_ifirstpersonsingular	I [first person singular]	KBDikhyangBugun	Bugun	KhoBwa	ko	ko	dikh1234	1209	27.320448	92.454924	799	FALSE	TB		799
7965	101_ifirstpersonsingular	I [first person singular]	KBWKhispi	Khispi	WesternKhoBwa	ga	ga	lish1235	1209	27.378042	92.223221	799	FALSE	TB		799
7966	101_ifirstpersonsingular	I [first person singular]	KBWDuhumbi	Duhumbi	WesternKhoBwa	ga	ga	chug1252	1209	27.416112	92.212034	799	FALSE	TB		799
7967	101_ifirstpersonsingular	I [first person singular]	KBWKhoina	Sartang	WesternKhoBwa	gu	gu	khoi1253	1209	27.334981	92.52994	799	FALSE	TB		799
7968	101_ifirstpersonsingular	I [first person singular]	KBWJerigaon	Sartang	WesternKhoBwa	gu	gu	jeri1243	1209	27.340629	92.486595	799	FALSE	TB		799
7969	101_ifirstpersonsingular	I [first person singular]	KBWKhoitam	Sartang	WesternKhoBwa	gu	gu	khoi1252	1209	27.327487	92.439455	799	FALSE	TB		799
7970	101_ifirstpersonsingular	I [first person singular]	KBWRahung	Sartang	WesternKhoBwa	gu	gu	rahu1234	1209	27.310778	92.395028	799	FALSE	TB		799
7971	101_ifirstpersonsingular	I [first person singular]	KBWRupa	Sherdukpen	WesternKhoBwa	gu	gu	rupa1234	1209	27.203065	92.398757	799	FALSE	TB		799
7972	101_ifirstpersonsingular	I [first person singular]	KBWShergaon	Sherdukpen	WesternKhoBwa	gu	gu	sher1261	1209	27.105018	92.272133	799	FALSE	TB		799
7973	101_ifirstpersonsingular	I [first person singular]	TshBhutanTshangla	Bhutan Tshangla	Bodic	ʥaŋ	ʥaŋ	tsha1245	1209	27.332081	91.551505	10390	FALSE	TB		10390
7974	101_ifirstpersonsingular	I [first person singular]	Kusunda	Kusunda		ʧiː	ʧiː	kusu1250	1209	28.431855	82.802796	771	FALSE	Bodt2019b		161
7975	101_ifirstpersonsingular	I [first person singular]	HruNamreiBisai	Namrei	Hrusish	ɲijan	ɲi+jan	hrus1242	1209	27.680112	92.699998			Abraham2018	*na(+jaŋ), mayeb Karbi	184
7976	101_ifirstpersonsingular	I [first person singular]	HruNamreiNabolang	Namrei	Hrusish	ɲijan	ɲi+jan	hrus1242	1209	27.558051	92.789317			Abraham2018	*na(+jaŋ), maybe Karbi	184
7977	101_ifirstpersonsingular	I [first person singular]	HruHrusoAkaJamiri	Hruso Aka	Hrusish	no	no	hrus1242	1209	27.203617	92.590615			Abraham2018		105
7978	101_ifirstpersonsingular	I [first person singular]	HruBangru	Bangru	Hrusish	ɲoː	ɲoː	bang1369	1209	27.952786	93.164169			BandL2015		105
7979	101_ifirstpersonsingular	I [first person singular]	HruDammaiDibin	Miji	Hrusish	nijaŋ	ni+jaŋ	hrus1242	1209	27.444541	92.511881			Abraham2018	*na(+jaŋ), maybe Karbi	184
7980	101_ifirstpersonsingular	I [first person singular]	HruMijiNafra	Miji	Hrusish	ɲijan	ɲi+jan	hrus1242	1209	27.371831	92.544458			Abraham2018	*na(+jaŋ), maybe Karbi	184
7981	101_ifirstpersonsingular	I [first person singular]	HruDammaiRurang	Miji	Hrusish	nijaŋ	ni+jaŋ	hrus1242	1209	27.368891	92.48215			Abraham2018	*na(+jaŋ), maybe Karbi	184
7982	101_ifirstpersonsingular	I [first person singular]	EBBumthang	Bumthang	East Bodish	ngat	ŋat	khen1241	1209	27.549248	90.753738			vanDriem2015		189
7983	101_ifirstpersonsingular	I [first person singular]	OldTibetan	Old Tibetan	Tibetan	ŋa	ŋ.a	clas1254	1209	30.027852	91.158704	327	FALSE	Huang1992		327
7984	101_ifirstpersonsingular	I [first person singular]	Khaling	Khaling	Kiranti	ʔu^ŋ	ʔ.u.ŋ	khal1275	1209	27.390595	87.510016	29761	FALSE	Jacques2017FN		29761
7985	101_ifirstpersonsingular	I [first person singular]	Limbu	Limbu	Kiranti	iŋga	i.ŋ.g.a	limb1266	1209	27.272065	87.889909	29722	FALSE	Jacques2017FN	!COGID changed Tim	799
7986	101_ifirstpersonsingular	I [first person singular]	Japhug	Japhug	rGyalrong	aʑo	a.ʑ.o	japh1234	1209	32.207076	101.957636	327	FALSE	Jacques2015b		327
7987	101_ifirstpersonsingular	I [first person singular]	Tangut	Tangut	Tangut	ŋa²	ŋ.a.²	tang1334	1209	38.477453	106.285383	327	FALSE	Li1997		327
7988	101_ifirstpersonsingular	I [first person singular]	Jingpho	Jingpho	Jingpho	ŋai³³	ŋ.a.i.³³	jing1260	1209	25.461826	97.329866	327	FALSE	Huang1992		0
7989	101_ifirstpersonsingular	I [first person singular]	Yidu	Yidu	Mishmi	ŋɑ³⁵	ŋ.ɑ.³⁵	idum1241	1209	29.448172	95.650179	327	FALSE	Huang1992		327
7990	101_ifirstpersonsingular	I [first person singular]	TshMotuoMenba	Motuo Cangluo Tshangla	Bodic	dʑaŋ	dʑ.a.ŋ	tsha1245	1209	29.321347	95.319922	10390	FALSE	Huang1992		10390
7991	101_ifirstpersonsingular	I [first person singular]	Maerkang	Marerkang	rGyalrong	ŋɑ	ŋ.ɑ	situ1238	1209	31.868614	102.295293	327	FALSE	Huang1992		327
7992	101_ifirstpersonsingular	I [first person singular]	Daofu	Daofu	rGyalrong	ŋa	ŋ.a	horp1240	1209	30.975281	101.123742	327	FALSE	Huang1992		327
7993	101_ifirstpersonsingular	I [first person singular]	Dulong	Dulong	Nungic	ŋɑ⁵³	ŋ.ɑ.⁵³	drun1238	1209	27.749017	98.691868	327	FALSE	Huang1992		327
7994	101_ifirstpersonsingular	I [first person singular]	Batang	Batang	Tibetan	ŋa²³¹	ŋ.a.²³¹	kham1282	1209	30.00795	99.111944	327	FALSE	Huang1992		327
7995	101_ifirstpersonsingular	I [first person singular]	Zhaba	Zhaba	Qiangic	ŋa¹³	ŋ.a.¹³	zhab1238	1209	30.538892	101.058397	327	FALSE	Huang1992		327
7996	101_ifirstpersonsingular	I [first person singular]	Xiahe	Xiahe	Tibetan	ŋa	ŋ.a	amdo1237	1209	35.210549	102.524979	327	FALSE	Huang1992		327
7997	101_ifirstpersonsingular	I [first person singular]	TaniBokar	Bokar	Tani	ŋoː	ŋ.oː	boka1249	1209	27.554547	93.15717	327	FALSE	Huang1992		327
